question,answer
"What is CSS?","CSS is the language used to control the visual style and layout of HTML elements."
"Apa fungsi HTML?","HTML menyusun struktur dan konten halaman web seperti heading, paragraf, form, dan tombol."
"What is a chatbot knowledge base?","A chatbot knowledge base is a collection of approved information that the chatbot searches to answer user questions."
"Bagaimana chatbot AI Knowledge Hub menjawab pertanyaan?","Versi basic menggunakan token kata dan skor relevansi untuk mencari entry dataset paling mirip, lalu mengirim jawaban dari entry tersebut."
"What happens if the chatbot has no relevant answer?","It should say that it cannot find a relevant answer and ask the user to rephrase or request more data from an admin."
"Apa format CSV untuk dataset chatbot?","Gunakan header question,answer. Setiap baris berikutnya berisi satu pertanyaan dan jawaban yang ingin diajarkan."
"Can the chatbot use Indonesian and English data together?","Yes. You can upload bilingual question-and-answer pairs, although answer quality depends on how clearly the data covers each language."
"Apa itu fine-tuning?","Fine-tuning adalah proses melanjutkan training model dasar menggunakan dataset khusus agar perilakunya lebih sesuai kebutuhan tertentu."
"Can I train a large language model from scratch on a 1 GB VPS?","No. A 1 GB VPS can run a lightweight retrieval chatbot or preprocessing, but training a useful language model requires much more memory and usually a GPU."
"Apa itu rate limit?","Rate limit adalah batas jumlah request atau aksi dalam periode waktu tertentu untuk mencegah overload atau penyalahgunaan."
"What is authentication?","Authentication verifies who a user is, usually with a password, session, token, or OAuth login."
"Apa perbedaan authentication dan authorization?","Authentication memverifikasi identitas pengguna. Authorization menentukan izin atau tindakan yang boleh dilakukan pengguna tersebut."
"What is HTTPS?","HTTPS encrypts traffic between a browser and server using TLS, helping protect passwords and other data in transit."
"Apa yang harus dilakukan jika API key bocor?","Segera revoke atau rotasi key tersebut, perbarui konfigurasi aplikasi, lalu periksa log dan repository untuk memastikan key lama tidak dipakai lagi."
